settings,TIP3P,CHA-GB,GBNSR6 (ZAP9),GBSNR6 (mbondi),AASC,IGB5,ML alone
physics model,1.52,1.71,1.66,2.19,2.44,2.87,5.66
feats-node_z-hy-ar-de-nh-edges-var_bonds-implicit_h_True/ep_1000-over_1_0-opat_20-del_0_01-cpat_100-iter_20/,0.73 ± 0.06,0.96 ± 0.13,0.88 ± 0.09,0.80 ± 0.07,1.08 ± 0.08,1.15 ± 0.09,1.29 ± 0.23
