settings,TIP3P,CHA-GB,ZAP9,mbondi,AASC,IGB5,ML alone
physics model,1.43,1.58,1.48,2.11,2.23,2.61,5.28
feats-node_z-hy-ar-de-nh-edge_bt-edges-var_bonds-implicit_h_True/ep_200-over_1_0-opat_20-del_0_01-cpat_20-iter_20/,0.48,0.45,0.36,0.68,0.70,0.67,0.66
feats-node_c-br-edge_r-edges-var_bonds-implicit_h_True/ep_200-over_1_0-opat_20-del_0_01-cpat_20-iter_20/,0.79,0.94,0.70,0.76,0.77,0.89,0.85
feats-node_c-br-z-hy-ar-de-nh-edge_r-bt-edges-var_bonds-implicit_h_True/ep_200-over_1_0-opat_20-del_0_01-cpat_20-iter_20/,0.46,0.44,0.31,0.72,0.73,0.64,0.62
