epoch,loss,train,valid,test,final_model,rel_val_overfitting
1,2.742336463928223,1.609064490003724,1.358426849823784,1.7704126752172378,,-0.18450580552972215
2,2.4060911178588866,1.5983682800016552,1.3685695686059427,1.681344215991534,,-0.16791160396017785
3,2.5263174057006834,1.5958113046129927,1.3706758178261242,1.6676965065253402,,-0.16425144724879637
4,2.4133232116699217,1.5835106417012417,1.3485222955926435,1.6714224941056246,,-0.17425618165647488
5,2.3820589065551756,1.5800786776566653,1.3195858197830752,1.6754866641289774,,-0.1974050144888736
6,2.414916229248047,1.577786622907637,1.312277093082144,1.6914347850362494,,-0.2023273371341803
7,2.223133087158203,1.576748689489628,1.2997041553687592,1.6942290217409373,,-0.21315968943891261
8,2.2505380630493166,1.5731199512740672,1.300451664295384,1.688859689646295,,-0.20967198894425762
9,2.370819091796875,1.5699804738860865,1.3002835452988013,1.6828991641244282,,-0.2074139364159297
10,2.2228904724121095,1.564741374065724,1.3024663808633004,1.6709869779369055,,-0.20136795625279996
11,2.2774417877197264,1.557235302540642,1.2934402460195358,1.6601123705297558,,-0.20394839060630401
12,2.218795585632324,1.550379200311653,1.2976724803448079,1.6491576069448926,,-0.19473844424881215
13,2.343478965759277,1.5400231937382125,1.3064085852309417,1.642184409593058,,-0.17882200955222086
14,2.24029598236084,1.525973421010382,1.2955396929451783,1.6449556233945999,,-0.1778669764577831
15,2.171340560913086,1.5218321831019346,1.2856715994335481,1.6524108410809009,,-0.183686552438769
16,2.0928627014160157,1.5221896874504564,1.2866123804386569,1.6589350979128221,,-0.1830988964457826
17,2.153116226196289,1.5221052497829906,1.2942276166927755,1.6629323020904607,,-0.17607229991933385
18,2.170108604431152,1.5225385158078513,1.297566670294458,1.6564238638354676,,-0.17337979671005288
19,2.2434873580932617,1.5184790021237469,1.2957577696431648,1.6506738438735866,,-0.1718849291885139
20,2.1441366195678713,1.504987007357038,1.276456454532427,1.6503571838751494,,-0.17903513434645357
21,2.1427034378051757,1.5008708522437917,1.278224120764342,1.6522008510365818,,-0.17418442342201546
22,2.1252275466918946,1.4992768138308703,1.2807132327376223,1.6542912017321472,,-0.1706577050242947
23,2.1260744094848634,1.4977504102714854,1.283209150907855,1.6512997023337006,,-0.16719118563941435
24,2.1599245071411133,1.4931029978157164,1.2703771479096473,1.6509136529839634,,-0.17532261995782533
25,2.125530242919922,1.4825300870254994,1.252973833754934,1.6702881378339738,,-0.18320913580663298
26,2.135253143310547,1.4763288281248679,1.2541049292264579,1.683850925165515,,-0.17719721350228604
27,2.1388574600219727,1.4761570486741231,1.2610809801907825,1.6807702834310756,,-0.17054897493640958
28,2.070962142944336,1.4746409390291428,1.2622439164779213,1.6791057240502276,,-0.1682693968879482
29,2.165664291381836,1.4728741713694464,1.265613035303827,1.6806497273838936,,-0.16376343343829702
30,2.103266143798828,1.4753906029156687,1.273697223132373,1.6688375797400048,,-0.1583526886297796
31,2.0692214965820312,1.4718822154625133,1.2824543279874088,1.6579679422127696,,-0.14770731662029554
32,2.103110122680664,1.4658134964543446,1.2828871135033406,1.6465927489248626,,-0.14258961760981756
33,2.070817756652832,1.4560529027573668,1.272613872226163,1.640469307981022,,-0.1441435100894482
34,2.0523344039916993,1.4574024669655934,1.2663630351122628,1.6439475441213627,,-0.15085676583760596
35,2.018125534057617,1.4543679626011061,1.2502774717308984,1.628439482192313,,-0.1632361579607305
36,2.0908992767333983,1.4700729756707975,1.255608209950041,1.656905394143449,,-0.1708054821728904
37,2.0934110641479493,1.4818250725051476,1.2637763775001924,1.6701622442013242,,-0.17253740367917422
38,2.024725151062012,1.4795591519160718,1.2593224314346398,1.6647620430758836,,-0.17488509295473664
39,2.0668266296386717,1.4764488182561617,1.2612723845501386,1.658690502715629,,-0.1706026678628746
40,2.0812448501586913,1.4674446863136055,1.2461754798598113,1.640751876870758,,-0.17755862639721168
41,2.0005455017089844,1.4693528180796809,1.2458991693116528,1.6466771918533605,,-0.1793513105009004
42,2.011412811279297,1.4654742939283891,1.2369670184461563,1.6295478783034292,,-0.18473190640869094
43,1.9782073974609375,1.4679796666197051,1.2338683609403684,1.622516258005456,,-0.18973766820709576
44,2.0407581329345703,1.4620899108740204,1.2253651515621773,1.6219872957182335,,-0.1931871157018384
45,1.9460016250610352,1.4669461610644379,1.2309157994628752,1.6198912299433532,,-0.1917518336384644
46,2.0314495086669924,1.4574448988451638,1.2205476531777093,1.6170338144128231,,-0.19409094356184284
47,1.9649927139282226,1.451832829236174,1.2136131620284338,1.6332149159038525,,-0.1962896206642812
48,1.9693099975585937,1.4529664225182386,1.2128649720233657,1.6518806770501226,,-0.19796222665604965
49,1.9886743545532226,1.4540053790004583,1.2188562608699578,1.6570212398850346,,-0.19292604524397572
50,2.037789154052734,1.4629069586394992,1.233945626183802,1.6574162765704297,,-0.185552205540694
51,1.886146354675293,1.4635514356787531,1.2265708922517558,1.660543059667107,,-0.19320574532136925
52,1.8976781845092774,1.4510995434259104,1.2255645436914766,1.6566010046481283,,-0.18402539539460594
53,1.9280839920043946,1.4389936026478798,1.2323951060109766,1.6430676989068036,,-0.16763982235017338
54,1.806196403503418,1.4330706961118111,1.2484571135931304,1.6107482267731825,,-0.1478733874865372
55,1.9155162811279296,1.4474442223949249,1.2707719071621901,1.6154499712748074,,-0.13902755816129783
56,1.9576786041259766,1.453780440321292,1.2709005879492352,1.6352361591577755,,-0.14389784229084146
57,1.8990255355834962,1.4342572833928504,1.229100856474159,1.6330415556961828,,-0.16691586035275427
58,1.850917434692383,1.4228874512362428,1.2154672284617114,1.6180332786799128,,-0.17065060901480766
59,1.8705060958862305,1.413065364556983,1.2017471954166858,1.6015240160643287,,-0.17584244835040047
60,1.855936622619629,1.4083539681887016,1.1925454550035919,1.597828529260148,,-0.18096460162557051
61,1.8952625274658204,1.3969756644295617,1.1828010560001938,1.5952925317588689,,-0.1810740761034058
62,1.846440887451172,1.3924233256300242,1.1786162023588405,1.592946077986307,,-0.18140521303141585
63,1.8232330322265624,1.3826755125878893,1.171260343067399,1.5864225675026646,,-0.18050228608169036
64,1.8564939498901367,1.3886257672581162,1.1753501708556588,1.5944905383752388,,-0.18145706844726278
65,1.8321706771850585,1.391533114277162,1.187843847167193,1.5828414604884233,,-0.1714781514386201
66,1.8665771484375,1.3963820203545654,1.2241137622864602,1.5805955586226008,,-0.1407289611272191
67,1.8078424453735351,1.4081014173098862,1.2450003140842685,1.5958117454236418,,-0.1310048691397986
68,1.8117795944213868,1.3986171319267406,1.237405949251353,1.596860612939403,,-0.13028156424568882
69,1.8431209564208983,1.3921427685222985,1.226653577620645,1.5985147474760952,,-0.13491110605380108
70,1.7866754531860352,1.37953907232604,1.2115354966484895,1.5759983022786195,,-0.13866995737417867
71,1.8164541244506835,1.3695355129392959,1.1981683770794826,1.5673656181823497,,-0.14302425196491836
