model_num,epochs,train,valid,test,conv_criterion
0,37,0.6320769241276356,0.925691420163916,2.7012016939141534,converged
1,55,0.4933019347505353,0.8169772749104617,3.438412302525503,converged
2,65,0.5702559257093822,0.7741880138799204,2.587248360378828,converged
3,73,0.5300371406821224,0.7344725000716171,2.5259134561049255,converged
4,62,0.5856205743459238,0.7297708756970878,3.0872508645403394,converged
5,43,0.5594411128371868,0.7525441126259621,2.4604511020851203,converged
6,42,0.6879457078554345,0.8122834107994057,2.746257226613561,converged
7,59,0.4482089592883168,0.8484822666690566,2.900753092383582,converged
8,57,0.5530595900436049,0.7426880926632498,2.515816280203847,converged
9,59,0.5135986559931214,0.7224289101406879,2.567739346236422,converged
10,63,0.464870414657732,0.7055748323673205,2.6603959178738026,converged
11,88,0.39539791402940927,0.7078610960891216,2.594913067681152,converged
12,87,0.4824384330990005,0.6650483781589022,2.7492848679184645,converged
13,43,0.7071554270963738,0.790745333887922,2.95462811957761,converged
14,57,0.6441426068944877,0.8494250140826362,2.5250481084904037,converged
15,61,0.49261122020398473,0.7825246864945796,2.763315309159122,converged
16,36,0.6911801295770905,0.8064888235526755,2.7573624548319255,converged
17,63,0.50780841355506,0.7521455922266842,2.619432957347449,converged
18,57,0.5688617336252807,0.8374131978382212,2.7885780417194788,converged
19,73,0.5201561116670794,0.7246903799176369,2.8540354620679924,converged
