epoch,loss,train,valid,test,final_model,rel_val_overfitting
1,2.8954286575317383,1.7243425311956493,1.36174896194479,2.054872439595182,,-0.2662704943303346
2,2.8936254501342775,1.7093831700908628,1.3685548791328714,2.0505786836398654,,-0.2490424725780403
3,2.8814113616943358,1.6929868423855958,1.3530974419187844,2.039353500739221,,-0.2511935873478742
4,3.001468276977539,1.6905485389319455,1.3599921767655598,2.053038619715954,,-0.24305754681070352
5,2.815198516845703,1.6705156935122871,1.344037462450359,2.014136684682616,,-0.2429085796959222
6,2.8919231414794924,1.6649788518851427,1.3464892723032924,2.0109828242515224,,-0.23653332123251522
7,2.7593889236450195,1.6539139179679418,1.3403754913956958,2.0117789660395125,,-0.23391835242060954
8,2.7552494049072265,1.6386707734538741,1.3256077061859035,1.999052937224,,-0.2361656965383291
9,2.6671335220336916,1.636088714289886,1.3170680872686176,1.9840052761395994,,-0.2422202998501502
10,2.672724151611328,1.6353018665218562,1.3011973409084177,1.9916206180668792,,-0.25676699076266696
11,2.6511114120483397,1.6325762234294343,1.2885255618961429,2.0000033680452867,,-0.2670111262884069
12,2.72723388671875,1.6316562061975428,1.2844478699624216,2.0057992036600156,,-0.2703171879176999
13,2.6295450210571287,1.6313411236230149,1.2925276151016376,2.018707344408829,,-0.26213251041041374
14,2.655168914794922,1.6126542294887247,1.2927325218858496,2.0135256990062818,,-0.24747710929107783
15,2.501528739929199,1.612373829439713,1.2995951502380783,2.020248130432941,,-0.24067393537467072
16,2.553985595703125,1.6274204834047692,1.3096144702427344,2.029414765873464,,-0.24267142764781008
17,2.5804416656494142,1.6486643026528587,1.3192366841013394,2.051024990634513,,-0.2497107778472098
18,2.5479068756103516,1.6555324971221774,1.3331208490896829,2.0566756707165545,,-0.24184727757626195
19,2.5395408630371095,1.6236896950962365,1.320230855193535,2.016673808103733,,-0.22985286149687592
20,2.5913442611694335,1.5955143055907373,1.312534206667246,1.968944949379232,,-0.2155982659240761
21,2.5797704696655273,1.5801975704930389,1.289983441813457,1.9407235901332847,,-0.22497508051080037
22,2.494372749328613,1.5857093705196503,1.2765820959770244,1.9735910797915575,,-0.2421522873591903
23,2.490041160583496,1.6022315977110115,1.2787310144605375,1.9972218018672887,,-0.2529856393503917
24,2.5291990280151366,1.600180237603113,1.2804502163864897,1.9943525120308798,,-0.24970125126685616
25,2.558399200439453,1.5749465938650917,1.256872550976156,1.9539208655183564,,-0.2530678569134969
26,2.544657516479492,1.5610792273213936,1.247115050445523,1.9278191218139618,,-0.2517523758242746
27,2.509251594543457,1.5631032618234884,1.2480252566316972,1.9306386138501126,,-0.2524612410826982
28,2.5229583740234376,1.5640706362714836,1.2480649728369835,1.9380120445977118,,-0.2531964844075272
29,2.447389602661133,1.5588806487893,1.2437065473196451,1.931195203393993,,-0.2534151662616053
30,2.415879249572754,1.5724462042871155,1.2632237743474297,1.9602811802247546,,-0.24478832350936977
31,2.3652538299560546,1.585669332606933,1.291620653126781,2.0037048291077575,,-0.2276587005389803
32,2.377120018005371,1.5865741218024256,1.3160175274551178,1.9925826653854164,,-0.20558737912138866
33,2.3399290084838866,1.5782306469476823,1.3130874704787305,1.9657882690934751,,-0.20192346848933443
34,2.353973388671875,1.5796108697642213,1.303966356836395,1.964222616222748,,-0.2113892827699776
35,2.416570854187012,1.57732049854241,1.290399383156305,1.971588570015264,,-0.22235062968202812
36,2.4405982971191404,1.5683175833494285,1.2802492492397193,1.9741201359632214,,-0.2250095708166044
37,2.3187435150146483,1.5769276940002408,1.2858643162592232,1.9951476188628294,,-0.226356213529407
38,2.285957908630371,1.5680403168264958,1.2706576214780896,1.9753321075767105,,-0.2340384146930756
39,2.2828962326049806,1.536991364265095,1.2410313285815202,1.9468907417179517,,-0.23847910110524972
40,2.283888816833496,1.5179515827358945,1.2308939540859098,1.9298853638582096,,-0.23321069024436003
41,2.1802446365356447,1.5017152356218386,1.2236883616549634,1.9143345556980753,,-0.22720398647157264
42,2.2462696075439452,1.509409002953801,1.234103826592927,1.930145186298241,,-0.2230810491212295
43,2.3323122024536134,1.5129156985560066,1.2293522728782877,1.9304099368212564,,-0.2306608381776613
44,2.3086963653564454,1.5048447480250535,1.2063046540862858,1.9425136904981313,,-0.2474831651585532
45,2.2634693145751954,1.473021677278197,1.17574953333123,1.8796934930884435,,-0.25283628487158416
46,2.22774658203125,1.461388412980959,1.1711401270637876,1.8340610066110352,,-0.24783395189853538
47,2.2958984375,1.4847499732465492,1.1840368225685116,1.8724017050429793,,-0.25397280299586084
48,2.247233581542969,1.5026839251976305,1.1993997641692271,1.8985831464441894,,-0.2528632821922183
49,2.1369823455810546,1.4805095650544233,1.1807398289263702,1.865846502214086,,-0.2538829713236907
50,2.2100749969482423,1.4666271186375195,1.1599415758135925,1.8513996495256806,,-0.264397405195874
51,2.2326406478881835,1.4507516594506467,1.152822894833311,1.8110331045473356,,-0.2584341150341343
52,2.0322261810302735,1.4540980918563522,1.165928478131099,1.807015190640931,,-0.24715891165740175
53,2.1780548095703125,1.4766508224105719,1.1971280707283878,1.829202430790547,,-0.23349444267237807
54,2.2154977798461912,1.480128142403646,1.2068818552955491,1.8285584332397402,,-0.22640682342612783
55,2.1295055389404296,1.4503952409364527,1.1706275382736548,1.781658199111672,,-0.23898951076734126
56,2.1397424697875977,1.4325095087764868,1.1585768270937573,1.7586967731643393,,-0.23643894412240093
57,2.186503219604492,1.4289176422128864,1.164721830440776,1.771763802440789,,-0.22683168192368164
58,2.1849084854125977,1.4421367565989875,1.1897845315383786,1.8058027788059483,,-0.2120990972494156
59,2.076786994934082,1.438481260604737,1.1789394973214957,1.8167994614320564,,-0.22014850115117018
60,2.1794153213500977,1.4389433439402433,1.1697996694858164,1.821879189739901,,-0.23007672294242362
61,2.0674644470214845,1.4240074813239332,1.1480544627700973,1.8039253871835395,,-0.24036579056362822
62,2.0536426544189452,1.4313180637456864,1.162203705603418,1.8127613718689655,,-0.23155524013971696
63,2.027437210083008,1.444215323502987,1.185254467420197,1.826458795384862,,-0.2184854503408365
64,2.0629175186157225,1.43514425768481,1.1941286077156061,1.8154677711437468,,-0.20183391337577275
65,1.957977294921875,1.4037800218820107,1.181414876648355,1.7827055945110881,,-0.18821935429194878
66,2.01241455078125,1.3923713212145221,1.1790136333560524,1.7670411543347886,,-0.1809628674531514
67,1.9420251846313477,1.3739640601294438,1.161163576959007,1.748145163421779,,-0.18326486241304954
68,1.907573127746582,1.3745733478521327,1.1640737575749838,1.7612532860344159,,-0.18083011399180143
69,1.9203632354736329,1.372389725611278,1.1536535959337904,1.767051851265791,,-0.18960295399628888
70,2.0977210998535156,1.3603631949262878,1.135281047685201,1.7477058407474493,,-0.19826116863310755
71,1.9651569366455077,1.3637900398474483,1.158744508415105,1.7529022744092957,,-0.17695491106387062
72,2.059552001953125,1.365225981378376,1.1981778087535113,1.770003314423289,,-0.13941851652105652
73,2.0323465347290037,1.367215534501546,1.2015529072457058,1.795996722697694,,-0.13787376840158047
74,1.9187824249267578,1.3706936066076467,1.184816932484378,1.8114803655671365,,-0.15688218916108332
75,1.922978973388672,1.378514524354745,1.1834531942547972,1.8115606083623033,,-0.16482386548694472
76,1.9691764831542968,1.364802318642446,1.1742887765576344,1.7847808581292335,,-0.1622373864828139
77,1.7953861236572266,1.3591514467889623,1.1707856225459319,1.7612198391791756,,-0.16088839887990722
