model_num,epochs,train,valid,test,conv_criterion
0,96,0.8505044603616806,1.190017085724878,1.0318683100797,converged
1,81,1.0279132034836393,1.1561856286052936,1.1973791794355226,converged
2,97,0.703104540918736,1.1629978165714423,1.094614639195114,converged
3,63,1.1190546159099521,1.2919808187951964,1.2239703888127962,converged
4,73,0.9943472800150223,1.2305509426376446,1.2005933209445263,converged
5,110,0.6182532899777364,1.135161604488666,1.0156501157974307,converged
6,54,1.1185200670955968,1.3166834818216404,1.3456508247753314,converged
7,64,0.9512003537192543,1.2518785225530342,1.0529380853226182,converged
8,95,0.6868411874037953,1.1671284722035036,1.1123831331286227,converged
9,93,0.9305944357214113,1.1998096054141796,1.1443539043503035,converged
10,101,0.7306056815432712,1.152587877910058,1.0540820517760658,converged
11,94,0.7475456958557859,1.2358734414201047,1.1131045747253674,converged
12,143,0.40451177339741684,1.016745819854832,0.9905709996668101,converged
13,98,0.6189935345891019,1.0651237262683608,1.033301676337961,converged
14,73,1.0317623155373852,1.2950364264134873,1.095985070824779,converged
15,44,0.9856124837528003,1.3069780775307287,1.1097855202111242,converged
16,169,0.42986562501251824,1.0882164587339267,1.0760534285660017,converged
17,74,0.9286322537919798,1.2051884057125322,1.109570621063796,converged
18,66,1.209241398880748,1.3218701456328938,1.3478275614694555,converged
19,140,0.6033371393596848,1.062619419677459,0.9799722468733169,converged
