settings,TIP3P,CHA-GB,GBNSR6 (ZAP9),GBSNR6 (mbondi),AASC,IGB5,ML alone
physics model,1.52,1.71,1.66,2.19,2.44,2.87,5.66
feats-node_z-hy-ar-de-nh-edge_bt-edges-var_bonds-implicit_h_True/ep_200-over_1_0-opat_20-del_0_01-cpat_20-iter_20/,0.60 ± 0.14,0.96 ± 0.27,0.61 ± 0.13,0.64 ± 0.17,0.82 ± 0.18,0.84 ± 0.16,0.86 ± 0.29
feats-node_c-br-edge_r-edges-var_bonds-implicit_h_True/ep_200-over_1_0-opat_20-del_0_01-cpat_20-iter_20/,0.84 ± 0.11,1.25 ± 0.17,0.81 ± 0.22,0.82 ± 0.14,0.87 ± 0.09,1.09 ± 0.15,1.73 ± 0.75
feats-node_c-br-z-hy-ar-de-nh-edge_r-bt-edges-var_bonds-implicit_h_True/ep_200-over_1_0-opat_20-del_0_01-cpat_20-iter_20/,0.60 ± 0.14,0.79 ± 0.28,0.58 ± 0.13,0.61 ± 0.15,0.76 ± 0.17,0.82 ± 0.18,0.89 ± 0.19
