model_num,epochs,train,valid,test,conv_criterion
0,63,0.5533528356763202,1.1243300201840247,0.8568626510701438,converged
1,81,0.31114017006547917,1.089504481699106,1.1041106181867417,converged
2,74,0.5661323184681352,1.0706395105064306,1.0259851098023893,converged
3,45,0.7263378701130956,1.1685488167365519,1.119321106493946,converged
4,102,0.405887341704539,0.9938400542862637,0.8720941160745429,converged
5,69,0.5585211451736287,1.0879647494321452,0.9474847461859139,converged
6,94,0.41801778886237484,1.0594704449195278,1.0389407652751326,converged
7,45,0.7471628475339509,1.2440753590441143,1.2837850773821713,converged
8,53,0.6785275265584738,1.2736409444707428,1.1556195388140422,converged
9,58,0.7527168624378913,1.1581109622790922,1.1476344985367224,converged
10,70,0.36307139821028483,0.9305989541283956,0.9823042124628962,converged
11,55,0.6726494636290847,1.1291598201889177,0.9377486419354847,converged
12,49,0.7072234270001756,1.1123859577183965,1.069939057764071,converged
13,39,0.8964328011081083,1.2951239306968205,1.0364776879719424,converged
14,50,0.6495195724558183,1.177655883806937,1.0256168673944959,converged
15,62,0.6815070243088457,1.1864208210701184,1.037527120051775,converged
16,68,0.5310533002970608,1.0794754935902575,0.8656608999901125,converged
17,35,0.9721082050946802,1.2663829445651755,1.0489956068308206,converged
18,43,0.8156008649482722,1.0665557364479612,1.1776948294389107,converged
19,83,0.30939293929982875,0.9786737917713245,0.983645400386587,converged
