settings,TIP3P,CHA-GB,ZAP9,mbondi,AASC,IGB5,ML alone
physics model,1.40,1.59,1.56,2.10,2.26,2.75,5.53
feats-node_z-hy-ar-de-nh-edge_bt-edges-var_bonds-implicit_h_True/ep_200-over_1_0-opat_20-del_0_01-cpat_20-iter_20/,0.38,0.60,0.47,0.43,0.49,0.59,0.54
feats-node_c-br-edge_r-edges-var_bonds-implicit_h_True/ep_200-over_1_0-opat_20-del_0_01-cpat_20-iter_20/,0.74,1.10,0.68,0.71,0.68,0.94,1.61
feats-node_c-br-z-hy-ar-de-nh-edge_r-bt-edges-var_bonds-implicit_h_True/ep_200-over_1_0-opat_20-del_0_01-cpat_20-iter_20/,0.34,0.54,0.39,0.37,0.40,0.56,0.55
