settings,TIP3P,CHA-GB,ZAP9,mbondi,AASC,IGB5,ML alone
physics model,1.43,1.58,1.48,2.11,2.23,2.61,5.28
feats-node_z-hy-ar-de-nh-edges-var_bonds-implicit_h_True/ep_1000-over_1_0-opat_20-del_0_01-cpat_100-iter_20/,0.64 ± 0.09,0.76 ± 0.08,0.69 ± 0.10,0.88 ± 0.11,0.98 ± 0.09,0.97 ± 0.09,0.90 ± 0.09
