epoch,loss,train,valid,test,final_model,rel_val_overfitting
1,3.6852821350097655,1.5267912963019081,1.4180241539212468,2.59570865605496,,-0.07670330726023863
2,2.681278038024902,1.5251170575045778,1.4582648990492708,2.621932920850224,,-0.04584363135867282
3,2.386888122558594,1.528916928385296,1.4503345146193412,2.6501427075800255,,-0.05418226827938362
4,2.3329883575439454,1.5029735345277735,1.4094018255086795,2.6404731324427093,,-0.06639107976557514
5,2.220967483520508,1.4739740995713229,1.3745698413201057,2.623393034139292,,-0.0723166297288696
6,2.184111404418945,1.4596937056628683,1.3583091453237077,2.6179452340144347,,-0.07464026925549332
7,2.1392196655273437,1.4535884467330817,1.3508807824136575,2.600925023652235,,-0.07603014689121086
8,2.1098724365234376,1.4518883802972424,1.3469480333824346,2.5847341225340275,,-0.07790972206350327
9,2.0616127014160157,1.44090086761597,1.327631065403727,2.583978338458351,,-0.08531722792867764
10,1.9271837234497071,1.4265434168106867,1.3086907564219943,2.5736014289302416,,-0.09005386475786359
11,2.007594680786133,1.4131282907456892,1.2891243146445088,2.5691638640460264,,-0.0961924111526637
12,2.0384801864624023,1.403094110508772,1.2789134155114137,2.561747803970023,,-0.09709859439366404
13,1.9642833709716796,1.3976971756697698,1.2678535082827784,2.5580731757194544,,-0.10241220025715417
14,1.9834976196289062,1.390282864045452,1.2570430613356933,2.542844338350139,,-0.10599462087494638
15,1.912936019897461,1.384934288944683,1.262584602100785,2.5306136784810462,,-0.09690414934597115
16,1.8885580062866212,1.3846716706586573,1.264769538162351,2.516580918686692,,-0.09480156572281012
17,1.8924551010131836,1.38046579326271,1.2660277129616413,2.515388604317691,,-0.09039144967321582
18,1.968390655517578,1.3672419458540228,1.259413940417276,2.513919919786548,,-0.08561760512276106
19,1.8552146911621095,1.3609618455944668,1.2529352130916638,2.5116188711983574,,-0.08621884944572934
20,1.8079763412475587,1.3570255448497182,1.242296985343371,2.5098438049684515,,-0.09235195839635417
21,1.8311733245849608,1.353277953242592,1.2378782654926879,2.511921266962076,,-0.09322377730250717
22,1.830160903930664,1.3438165182078612,1.2298603573150453,2.5074607256917436,,-0.09265780477842046
23,1.8297441482543946,1.3360214590009463,1.222768873792685,2.5058297399199656,,-0.09261978092146202
24,1.8054370880126953,1.3305616162278056,1.218272985146824,2.4997349689044275,,-0.0921703365748103
25,1.7362817764282226,1.324265135188292,1.208039284903266,2.4916816098123844,,-0.09621032340378963
26,1.8196264266967774,1.316950229492265,1.1975566747152608,2.4791843997151943,,-0.09969762375162079
27,1.7877620697021483,1.3107019947874234,1.1988429250179822,2.4732039643732815,,-0.09330585970448416
28,1.7809577941894532,1.3074776458686383,1.1965473304192957,2.4712173662015693,,-0.09270867322103361
29,1.6641225814819336,1.3041657348713527,1.1868412644826343,2.4728319463151394,,-0.09885439097861354
30,1.7205223083496093,1.2968238008754223,1.1786244414011162,2.470243552511053,,-0.10028585469837525
31,1.660481834411621,1.2867808875238669,1.1673983765528766,2.4491530108829904,,-0.10226372879111412
