settings,TIP3P,CHA-GB,ZAP9,mbondi,AASC,IGB5,ML alone
physics model,1.26,1.33,1.37,1.87,2.04,2.45,3.78
feats-node_z-hy-ar-de-nh-edges-var_bonds-implicit_h_True/ep_1000-over_1_0-opat_20-del_0_01-cpat_100-iter_20/,0.62 ± 0.05,0.60 ± 0.07,0.58 ± 0.13,0.70 ± 0.14,0.79 ± 0.08,0.95 ± 0.12,0.82 ± 0.09
