model_num,epochs,train,valid,test,conv_criterion
0,68,0.7827179092510556,0.7644586235220522,2.9438292870452027,converged
1,64,0.8250565289839846,0.7619212293180377,3.1108528955495562,converged
2,70,0.7366470500433703,0.824316211798928,2.8928039129134304,converged
3,83,0.6390865695922942,0.7581474105333051,3.1445932704836492,converged
4,59,0.7535104520858328,0.8209279221167322,3.012066456465519,converged
5,44,0.9900843450722634,0.9634002367155394,3.0106302130174867,converged
6,43,0.8792585295419569,0.807374262682762,3.017746825470232,converged
7,58,0.8230258729433367,0.7631560105844493,3.1456779054099915,converged
8,57,0.8486877238887586,0.8766431281355894,2.906754648506284,converged
9,39,1.0480258412266579,0.8588360472485979,2.801638360588236,converged
10,68,0.8511889637995013,0.8866632411508255,2.923099388985706,converged
11,55,0.9655783001523593,0.7604965785439126,2.9736099394121247,converged
12,94,0.5590123580369453,0.7378264862475188,2.956725285098943,converged
13,70,0.6888852834893614,0.8297364951862204,2.7436033385560137,converged
14,64,0.6968447706550458,0.7823828079098563,2.9034364114271614,converged
15,113,0.4451112878940275,0.6855939657675465,2.8489191171477204,converged
16,52,0.7505065940222339,0.7654122395975181,2.9342505648885675,converged
17,59,0.7554361330761584,0.7928660342639186,2.8407396059193464,converged
18,34,1.078188871062621,0.886146926357358,2.980054787983212,converged
19,70,0.7357735983958702,0.8460083364930252,2.794513235762554,converged
