epoch,loss,train,valid,test,final_model,rel_val_overfitting
1,26.4536865234375,4.876676457285012,3.7449526750438364,3.8943162967180456,,-0.3021997553621765
2,21.206082153320313,4.423809115207986,3.2493670852233447,3.5045051841841635,,-0.3614371658177598
3,17.652516174316407,4.097253538284521,2.94433294916559,3.3315400081175923,,-0.39157276334718316
4,15.845799255371094,4.083904628846534,3.0990185255284683,3.5839054191061375,,-0.3178058134228532
5,15.986956787109374,4.047832897001768,3.009886661165122,3.4783210272955034,,-0.3448456213413891
6,15.697119140625,4.02551899963493,2.9225701181089723,3.3424958234396653,,-0.37739004949507016
7,15.540586853027344,4.018105341111954,2.9361211562641527,3.3672942627618134,,-0.36850801695952184
8,15.440171813964843,3.9956351051835033,2.904561272919167,3.308691423843417,,-0.37564152715145716
9,15.292330932617187,3.933132369595587,2.8964467199390147,3.268479513325709,,-0.35791635403478095
10,14.708152770996094,3.916703534784725,2.8300202577519076,3.14755892767365,,-0.3839842750440414
11,14.731779479980469,3.8234878038653024,2.80049594641856,3.036495041459667,,-0.36528953336104797
12,14.056544494628906,3.7836403781385557,2.8561934680304257,2.959843288848641,,-0.3247143166207431
13,13.700656127929687,3.817662236070634,2.9752651370257395,3.131854020191768,,-0.28313345542273494
14,13.228953552246093,3.5874614157401767,2.709246282338769,2.870237411836672,,-0.32415478028940375
15,12.224368286132812,3.562101133311969,2.822717669949543,2.967327854939665,,-0.26194028231510774
16,11.91766815185547,3.4775258370901625,2.680049079318051,2.741306783630663,,-0.2975605051139707
17,12.522190856933594,3.574699110394901,2.9208916868863812,2.999759582350095,,-0.22383829788822707
18,12.050325012207031,3.4268877737474828,2.789115051007345,2.811846406855776,,-0.22866490305224002
19,11.3742919921875,3.5479820927661763,2.894598461174782,3.1071068168061795,,-0.225725136095808
20,11.248188781738282,3.397599173606917,2.695540503817017,2.718715313753987,,-0.260451908919844
21,10.94818572998047,3.3642628922412086,2.6820138955476622,2.5650138546995067,,-0.25437936687282986
22,10.849378967285157,3.339757688381748,2.7039486801373185,2.7646906578740977,,-0.23514093034196953
23,10.655369567871094,3.2734574085148616,2.7325680838734403,2.463748951886931,,-0.1979417559011762
24,10.432032775878906,3.3998566431017174,2.882013054111037,2.8179500003315345,,-0.17968120867877546
25,10.744593048095703,3.243203117604928,2.6473863358531182,2.378668211975349,,-0.22505849398811228
26,10.040489959716798,3.2117205297233196,2.52373404743661,2.504189651610856,,-0.2726065700090335
27,9.742242431640625,3.182668296314782,2.5553779123521374,2.2515482500112025,,-0.2454785184337942
28,9.550253295898438,3.1239972798134223,2.613947125689241,2.5445493327656616,,-0.19512642360342022
29,9.237846374511719,3.1122520897052834,2.4697469512367705,2.321742342302154,,-0.2601501899402151
30,9.226554107666015,3.0784035773788125,2.7157976611781978,2.460823503374086,,-0.13351727979738556
31,9.189476013183594,2.9819351817316866,2.481328246614067,2.2282383463931557,,-0.20174958141903646
32,8.76367416381836,3.0262959502688696,2.4039010580939997,2.2952789776652,,-0.25891036158882225
33,8.97753448486328,3.030360796663315,2.595581656375778,2.3566386773296957,,-0.16750740213452617
34,8.150591278076172,2.863788452233251,2.4815401173407623,2.0767306239098433,,-0.1540367339707201
35,7.9572593688964846,2.9114789954855813,2.469631234336018,2.192737252954159,,-0.17891244450038638
36,8.202434539794922,2.943919730546136,2.435290780649033,2.2123438679108207,,-0.2088575844571413
37,7.776542663574219,2.804723158118811,2.54605929416517,2.002693334687848,,-0.10159380991103528
38,7.545167541503906,2.764564074246864,2.267283868913943,2.021628160184652,,-0.21932860377607866
39,7.488066101074219,2.7541191118014208,2.305163243713136,2.127787578845281,,-0.19476098680330792
40,7.544167327880859,2.9091771903758223,2.311738902689384,2.2448231863860664,,-0.2584367494925151
41,7.901582336425781,2.795677925975756,2.4763928643002737,2.107787555689733,,-0.1289315060943285
42,7.610139465332031,2.8406277649360807,2.363408139512086,2.3156392112824955,,-0.20192010742694416
43,7.335218048095703,2.7292731542003827,2.186682549151909,2.10062011847425,,-0.24813414515011062
44,7.275349426269531,2.6547828548936243,2.4311089637268113,1.953269479913495,,-0.09200488110739725
45,6.582182312011719,2.6634335027778917,2.2631915169610455,1.9658640769935054,,-0.17684848269238862
46,6.682848358154297,2.706037421032695,2.3653001195654317,2.083565097650848,,-0.14405668804932284
47,6.924481201171875,2.5974275291967968,2.1366366571408806,1.8936313043343616,,-0.2156617834463811
48,6.88061294555664,2.6735324765248376,2.206357916572103,2.006543651464225,,-0.21174015169694602
49,7.123084259033203,2.5895325221318783,2.3342338652989714,1.8645325885745456,,-0.10937149898654565
50,6.419544982910156,2.5431758646508955,2.2447175060888744,1.8202422271595893,,-0.13296032028638008
