settings,TIP3P,CHA-GB,ZAP9,mbondi,AASC,IGB5,ML alone
physics model,1.26,1.33,1.37,1.87,2.04,2.45,3.78
feats-node_z-hy-ar-de-nh-edge_bt-edges-var_bonds-implicit_h_True/ep_200-over_1_0-opat_20-del_0_01-cpat_20-iter_20/,0.52 ± 0.09,0.52 ± 0.12,0.47 ± 0.12,0.48 ± 0.11,0.54 ± 0.16,0.63 ± 0.21,0.45 ± 0.17
feats-node_c-br-edge_r-edges-var_bonds-implicit_h_True/ep_200-over_1_0-opat_20-del_0_01-cpat_20-iter_20/,0.63 ± 0.06,0.72 ± 0.16,0.63 ± 0.08,0.64 ± 0.16,0.76 ± 0.19,0.79 ± 0.15,0.65 ± 0.18
feats-node_c-br-z-hy-ar-de-nh-edge_r-bt-edges-var_bonds-implicit_h_True/ep_200-over_1_0-opat_20-del_0_01-cpat_20-iter_20/,0.48 ± 0.07,0.56 ± 0.11,0.42 ± 0.08,0.46 ± 0.10,0.49 ± 0.12,0.55 ± 0.08,0.46 ± 0.17
