settings,TIP3P,CHA-GB,GBNSR6 (ZAP9),GBSNR6 (mbondi),AASC,IGB5,ML alone
physics model,1.56,1.75,1.61,2.24,2.47,2.77,5.38
feats-node_z-hy-ar-de-nh-edge_bt-edges-var_bonds-implicit_h_True/ep_200-over_1_0-opat_20-del_0_01-cpat_20-iter_20/,0.73 ± 0.18,0.85 ± 0.31,0.53 ± 0.15,0.93 ± 0.16,1.04 ± 0.19,0.97 ± 0.12,0.82 ± 0.18
feats-node_c-br-edge_r-edges-var_bonds-implicit_h_True/ep_200-over_1_0-opat_20-del_0_01-cpat_20-iter_20/,0.93 ± 0.10,1.09 ± 0.27,0.96 ± 0.24,1.06 ± 0.18,1.17 ± 0.20,1.16 ± 0.10,0.97 ± 0.22
feats-node_c-br-z-hy-ar-de-nh-edge_r-bt-edges-var_bonds-implicit_h_True/ep_200-over_1_0-opat_20-del_0_01-cpat_20-iter_20/,0.62 ± 0.14,0.76 ± 0.23,0.57 ± 0.15,0.95 ± 0.15,1.00 ± 0.20,0.92 ± 0.07,0.71 ± 0.15
