epoch,loss,train,valid,test,final_model,rel_val_overfitting
1,2.1207761764526367,1.4652801090949896,1.3810072531282198,2.595872524179629,,-0.061022746821841264
2,1.9967330932617187,1.4224793170532253,1.2746585552284497,2.556710730795187,,-0.11596890886460373
3,1.8794389724731446,1.3259283190512616,1.1135547140242743,2.6070287679516957,,-0.19071681198267354
4,1.6612882614135742,1.2596153754407569,1.0678858388314014,2.6012476909902875,,-0.17954122963103158
5,1.5268178939819337,1.2216386805708537,1.0258884226367675,2.610440581380134,,-0.1908104756957519
6,1.421798324584961,1.2052341416048888,1.0502552015031743,2.687063260187131,,-0.1475631254955
7,1.3720478057861327,1.1461764726697323,1.0137274673522048,2.574960567221968,,-0.1306554370707508
8,1.2610833168029785,1.1056233906506967,1.0177252436637791,2.665879622889329,,-0.08636726614983722
9,1.1886786460876464,1.0813101203858644,1.0041469976400101,2.555973560456769,,-0.0768444489972149
10,1.1739093780517578,1.1707861407877227,1.0660626396797892,2.453917193335121,,-0.09823390972540699
11,1.143611526489258,1.0526456900231016,1.0133840579137954,2.7930662785867213,,-0.038743092317963086
12,1.0500189781188964,1.003043642085217,0.9561431197209596,2.681831220913459,,-0.04905178042586844
13,0.9641661643981934,1.0047463404899677,0.9873201440645251,2.5578013281316077,,-0.017649995829826563
14,0.9448640823364258,0.9966099866828702,0.9797962010013263,2.598940814667073,,-0.01716049282938702
15,0.947385311126709,1.02176952737578,1.0362146271787707,3.1203824340863906,,0.013940258537287054
16,0.9265850067138672,0.9448074738194876,0.9360614480406437,2.6878658260231334,,-0.009343431242843063
17,0.8716342926025391,0.9365729161717213,0.936039699493253,2.5474036368388826,,-0.000569651777330549
18,0.832967472076416,0.9278502668774246,0.9431725502166096,2.916170187751803,,0.016245472088501873
19,0.7891448974609375,0.8803263028521804,0.8908149902827164,2.802978895983028,,0.01177426013813173
20,0.749775743484497,0.8741642412117127,0.9302797626411791,2.647810127016833,,0.060321124550906616
21,0.719425106048584,0.8126565179233365,0.8219972600705618,2.669878286376098,,0.0113634711463923
22,0.6859029293060303,0.9098412804170868,0.9700413815698703,2.493931587343027,,0.06205931241341317
23,0.7350180625915528,0.8077137009883045,0.781266265413514,2.791658481356146,,-0.03385201274599037
24,0.6208560943603516,0.772779481207283,0.7146250248547352,2.5578290046602445,,-0.08137758171058883
25,0.5637900829315186,0.7314432081601684,0.7133308716131448,2.3900097233874757,,-0.02539121362582261
26,0.52354416847229,0.8124320562294661,0.8497286942711945,2.457784936657271,,0.04389240741566032
27,0.5675501346588134,0.7983440272007032,0.797037671165571,2.2877972412858005,,-0.0016390141675760395
28,0.5683417320251465,0.7306471590274863,0.7233007409802851,2.6774297016928195,,-0.010156795964628363
29,0.5037933826446533,0.7421624028989788,0.7383305521117224,2.3822124113230094,,-0.005189885175815704
30,0.4713371753692627,0.7116602577368204,0.7466398373833572,2.7109640692139556,,0.0468493347061747
31,0.4681551933288574,0.6600020659961479,0.6866122126446631,2.3808403477519913,,0.0387557141548931
32,0.44007325172424316,0.6677871905611511,0.680437109781169,2.2139979427655896,,0.018590872011795715
33,0.4234318733215332,0.6343599017855697,0.6601350810041078,2.332248860245992,,0.03904531051331557
34,0.38945391178131106,0.6454660887551265,0.796109490794729,2.291624274218698,,0.18922447701159847
35,0.39747304916381837,0.6480662306145442,0.5919302230216428,2.433825246286888,,-0.09483551508206885
36,0.3799822092056274,0.6382385905919279,0.8275419619083972,2.384636616564032,,0.2287538034686679
37,0.4093719482421875,0.6013613863879553,0.6603495205260587,2.385757399286111,,0.08932865445425207
38,0.4057183265686035,0.6181761312956728,0.6384949189194501,2.3524569629544105,,0.03182294333393214
39,0.37888216972351074,0.6036019394225796,0.664834216029724,2.365002648977188,,0.09210157228792033
40,0.3485485792160034,0.5845465169413927,0.6157310193235507,2.387131717785612,,0.05064630724048568
41,0.3864018440246582,0.5969453703252844,0.6406083442808183,2.266945321297671,,0.06815860946137424
42,0.35228610038757324,0.5989743549341073,0.7523539917143087,2.4491399016420834,,0.20386631621467388
43,0.38221096992492676,0.5731287717882695,0.593018235327556,2.4138085356789745,,0.033539379321616526
44,0.39400415420532225,0.5723881087979366,0.6039490066849746,2.6225752253137053,,0.052257554094298796
45,0.3262317180633545,0.5792759299109653,0.6623696097106494,2.6303433988690266,,0.12544911267288192
46,0.3290516138076782,0.5401802488701344,0.6017205078611215,2.4677960813068394,,0.10227382678004183
47,0.28648269176483154,0.540140045580802,0.5732007185748806,2.495142897270741,converged,0.0576773055628327
48,0.2978098154067993,0.5566155975535813,0.6186777325955315,2.3407100807547243,,0.10031415674454887
49,0.3129962205886841,0.5454827141675908,0.6168202375377516,2.490495205108813,,0.11565366865219746
50,0.2853666067123413,0.5391142739749373,0.6141701932178208,2.2753793797414987,,0.12220703653761382
51,0.27369537353515627,0.5259944167685319,0.5916032442263938,2.6046660501557564,,0.1109000467765434
52,0.27895658016204833,0.512333648990267,0.6278563255073802,2.522073909908449,,0.1839954012150114
53,0.27661824226379395,0.5120914643274157,0.6632313204762025,2.4174765527767517,,0.22788407525788712
54,0.2757155656814575,0.5533761991334769,0.6251439505924054,2.3701916615925223,,0.1148019610378044
55,0.2836674928665161,0.5089098151432018,0.6385122244423764,2.707452378176993,,0.20297561164527217
56,0.2715740442276001,0.5261645810696708,0.5832561876605697,2.4177964750801957,,0.09788427075226133
57,0.24469170570373536,0.49969374934845,0.6423434653811139,2.546348960150443,,0.22207700976303577
58,0.24629268646240235,0.48171758040443424,0.6305699296745602,2.334576263689219,,0.23606001850888966
59,0.2307581424713135,0.46802815362975925,0.6085485553608849,2.4844733441204623,,0.23091074737297415
60,0.200398588180542,0.4550447100347195,0.6746581108505223,2.5249582398441777,,0.32551806208768824
61,0.2258371591567993,0.45985350989624635,0.6398941003090423,2.7037032548895166,,0.28135997866810114
62,0.22146708965301515,0.42727580656147873,0.6308917692278303,2.611411043471923,,0.32274309572236776
63,0.1762703537940979,0.42397378254199647,0.714665225163673,2.617342670879131,,0.4067519061881068
64,0.18127262592315674,0.38895099630234536,0.6025215475459487,2.604649768903903,,0.3544612671753723
65,0.14774500131607055,0.37506799841847266,0.6483784478621438,2.764954475541223,,0.4215292015717672
66,0.14470478296279907,0.38578632496002735,0.6965134626904411,2.727972529429633,,0.44611792072210604
67,0.1320238947868347,0.3224835139813485,0.6082370684398389,2.850521783699404,,0.4698062141978025
